user_name,trial_number,timestamp,dragonfly_image,dragonfly_scale,dragonfly_center_x,dragonfly_center_y,dragonfly_width,dragonfly_height,grain_size,contrast,complexity_alpha,edge_density,background_seed,click_x,click_y,click_accuracy_pixels,click_accuracy_normalized,reaction_time_seconds,found,timed_out
J,1,2025-11-03T21:59:58.844429,Untitled.png,0.1,385,180,106,23,20.23320384209813,0.7152667153791405,1.0624680820783121,medium,965231,392.9020618556701,176.81958762886597,8.518075159406564,0.13206318076599324,5.554778337478638,True,False
J,2,2025-11-03T22:00:01.827895,Untitled.png,0.1,523,579,106,23,45.02190539496849,0.6449213060043784,1.4425536765372127,auto,348759,549.6030927835052,581.7680412371134,26.74671190890847,0.4146777040140848,1.1920604705810547,True,False
J,3,2025-11-03T22:00:04.946340,Untitled.png,0.1,415,234,106,23,16.036888820907844,0.5849392118977874,0.8477898004091914,high,466528,448.9845360824743,227.9536082474226,34.51822049246792,0.5351662091855491,1.3366539478302002,True,False
J,4,2025-11-03T22:00:08.350692,Untitled.png,0.1,165,679,106,23,51.780079334294996,0.727078834181466,0.6668163018848757,medium,456550,190.840206185567,677.4381443298969,25.887364656272933,0.4013544907949292,1.6204259395599365,True,False
J,5,2025-11-03T22:00:11.421290,Untitled.png,0.1,446,193,106,23,59.49166652032251,0.46344126922204143,1.0409514047494337,medium,394679,467.9536082474227,189.19072164948454,22.281640797594164,0.3454517953115374,1.2365479469299316,True,False
J,6,2025-11-03T22:00:14.516409,Untitled.png,0.1,197,587,106,23,24.47855406171911,0.4716283277887985,1.165513780990492,high,315662,219.70618556701032,585.8917525773196,22.7332152445136,0.3524529495273427,1.241272211074829,True,False
J,7,2025-11-03T22:00:17.639628,Untitled2.png,0.1,621,499,83,13,11.556552098589892,0.38784284891233123,1.216092869578767,high,581584,637.8505154639175,503.41752577319585,17.419942748372435,0.36291547392442575,1.341557502746582,True,False
J,8,2025-11-03T22:00:20.424922,Untitled.png,0.1,549,291,106,23,39.5392506893064,0.39192429716304344,1.4047997976544173,auto,702516,571.0463917525774,291.4587628865979,22.051164429440732,0.3418785182859028,0.9978997707366943,True,False
J,9,2025-11-03T22:00:23.385776,Untitled2.png,0.1,437,663,83,13,47.3672789492904,0.6952588565454039,1.055222641336906,auto,178660,444.86082474226805,667.5412371134021,9.078292799243368,0.18913109998423683,1.1382334232330322,True,False
J,10,2025-11-03T22:00:26.275285,Untitled2.png,0.1,545,422,83,13,38.29855979155848,0.23423431590768296,1.0150287235045605,medium,381794,547.1288659793814,420.1185567010309,2.8411088056256038,0.05918976678386675,1.1106846332550049,True,False
J,11,2025-11-03T22:00:29.161681,Untitled.png,0.1,619,581,106,23,35.008077875711805,0.3544443165722766,1.1779951325023688,medium,668557,643.6237113402062,580.9432989690722,24.62377662286411,0.381763978649056,1.0421926975250244,True,False
J,12,2025-11-03T22:00:31.924206,Untitled2.png,0.1,642,362,83,13,44.42724964766927,0.5919803958804406,1.0456049752483867,high,752870,649.3969072164949,362.3865979381443,7.4070030602945005,0.15431256375613542,0.9606294631958008,True,False
J,13,2025-11-03T22:00:58.677174,Screenshot 2025-11-03 214534.png,0.1,247,445,4,1,54.55072626351829,0.6686235211679485,1.2740278220005137,auto,863509,647.7474226804125,688.9845360824743,469.17688629382985,187.67075451753195,24.94423818588257,False,False
J,14,2025-11-03T22:01:01.438450,Untitled2.png,0.1,549,394,83,13,50.56154100955343,0.28681496184770583,0.7571148508075486,low,214013,561.9742268041238,397.02577319587624,13.322382091717929,0.27754962691079016,0.980238676071167,True,False
J,15,2025-11-03T22:01:04.171189,Untitled2.png,0.1,354,439,83,13,53.611516381038626,0.6314108619606758,0.9072921110134174,high,493887,355.7886597938145,435.7886597938144,3.675868574619133,0.07658059530456528,0.8858568668365479,True,False
J,16,2025-11-03T22:01:22.330739,Screenshot 2025-11-03 214534.png,0.1,208,515,4,1,38.097047014044335,0.6242229978589229,1.2978025212390227,medium,963750,277.43814432989694,308.7783505154639,217.59831020507136,87.03932408202854,16.381301164627075,False,False
J,17,2025-11-03T22:01:24.979455,Untitled.png,0.1,365,413,106,23,31.982154373858663,0.6714035181795205,0.5618317626076496,auto,869273,387.1288659793815,415.1701030927835,22.235018708486304,0.34472897222459387,0.8704097270965576,True,False
J,18,2025-11-03T22:01:30.372251,Untitled2.png,0.1,183,444,83,13,19.505401908056154,0.4177201184687418,0.8091974291815696,auto,542799,192.48969072164948,443.2113402061855,9.52240590727678,0.1983834564015996,3.6207780838012695,True,False
J,19,2025-11-03T22:01:33.303247,Untitled2.png,0.1,271,571,83,13,26.161434181373796,0.23440742497336717,0.8698731748583497,high,175200,277.43814432989694,570.2216494845361,6.485023665146263,0.13510465969054716,1.1134097576141357,True,False
J,20,2025-11-03T22:01:35.971921,Untitled.png,0.1,267,446,106,23,58.715002005281775,0.2720962534507373,1.426862714641338,medium,770521,284.0360824742268,448.159793814433,17.172443489192826,0.26623943394097405,0.7993903160095215,True,False
J,21,2025-11-03T22:01:38.741290,Untitled.png,0.1,499,643,106,23,41.122083398913745,0.2688572996989579,1.2906535542725508,medium,551003,508.36597938144337,636.2010309278351,11.57357119552464,0.17943521233371534,0.9916872978210449,True,False
J,22,2025-11-03T22:02:03.454485,Screenshot 2025-11-03 214534.png,0.1,106,659,4,1,15.674826962469908,0.7364419352765608,0.6183124090837333,auto,356925,191.66494845360825,352.4896907216495,318.25626951793026,127.3025078071721,22.93838357925415,False,False
J,23,2025-11-03T22:02:11.259721,Screenshot 2025-11-03 214534.png,0.1,476,437,4,1,36.27869873627313,0.3318968070628537,0.9777159139240023,low,144153,368.9845360824742,428.36597938144325,107.36319587980289,42.945278351921154,5.961108684539795,False,False
J,24,2025-11-03T22:02:14.377043,Untitled.png,0.1,417,199,106,23,24.13524250886465,0.3023534562680006,0.924621765451228,low,680244,445.6855670103093,194.13917525773195,29.094490404163977,0.45107737060719344,1.3172032833099365,True,False
J,25,2025-11-03T22:02:23.755204,Screenshot 2025-11-03 214534.png,0.1,500,497,4,1,31.239247205177524,0.7405558814633173,1.2759296542233014,auto,911140,357.43814432989694,415.1701030927835,164.3776588224476,65.75106352897903,7.530365705490112,False,False
J,26,2025-11-03T22:02:29.583944,Screenshot 2025-11-03 214534.png,0.1,573,442,4,1,46.62277452392677,0.517765051049593,0.8158862536508811,low,22909,345.8917525773196,321.14948453608247,257.26057438965654,102.90422975586262,4.033297300338745,False,False
J,27,2025-11-03T22:02:34.101196,Untitled2.png,0.1,607,627,83,13,24.426452531878063,0.5406096171343902,0.8183973659916954,auto,983371,603.2113402061856,632.0773195876288,6.335070420144148,0.1319806337530031,2.714531421661377,True,False
J,28,2025-11-03T22:02:37.028237,Untitled2.png,0.1,453,472,83,13,41.58410927836886,0.798528697880541,0.7002717304100612,auto,358555,456.4072164948454,476.20103092783506,5.409046598003497,0.11268847079173953,1.1115739345550537,True,False
J,29,2025-11-03T22:02:49.619641,Screenshot 2025-11-03 214534.png,0.1,549,186,4,1,58.15936888031046,0.21065254879404527,0.887820768847689,high,483891,354.0367228020745,578.1514695524108,437.9422958882489,175.17691835529956,10.728583574295044,False,False
